Treatment,Batch,Operator,Assembly,Burn.Rate,Coded.Burn.Rate
A,batch1,op1,alpha,24,-1
B,batch2,op1,beta,17,-8
C,batch3,op1,gamma,18,-7
D,batch4,op1,delta,26,1
E,batch5,op1,epsilon,22,-3
B,batch1,op2,gamma,20,-5
C,batch2,op2,delta,24,-1
D,batch3,op2,epsilon,38,13
E,batch4,op2,alpha,31,6
A,batch5,op2,beta,30,5
C,batch1,op3,epsilon,19,-6
D,batch2,op3,alpha,30,5
E,batch3,op3,beta,26,1
A,batch4,op3,gamma,26,1
B,batch5,op3,delta,20,-5
D,batch1,op4,beta,24,-1
E,batch2,op4,gamma,27,2
A,batch3,op4,delta,27,2
B,batch4,op4,epsilon,23,-2
C,batch5,op4,alpha,29,4
E,batch1,op5,delta,24,-1
A,batch2,op5,epsilon,36,11
B,batch3,op5,alpha,21,-4
C,batch4,op5,beta,22,-3
D,batch5,op5,gamma,31,6
