Treatment,A,B,AB,C,AC,BC,ABC,D,AD,BD,ABD,CD,ACD,BCD,ABCD
1,-1,-1,1,-1,1,1,-1,-1,1,1,-1,1,-1,-1,1
a,1,-1,-1,-1,-1,1,1,-1,-1,1,1,1,1,-1,-1
b,-1,1,-1,-1,1,-1,1,-1,1,-1,1,1,-1,1,-1
ab,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1
c,-1,-1,1,1,-1,-1,1,-1,1,1,-1,-1,1,1,-1
ac,1,-1,-1,1,1,-1,-1,-1,-1,1,1,-1,-1,1,1
bc,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1
abc,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
d,-1,-1,1,-1,1,1,-1,1,-1,-1,1,-1,1,1,-1
ad,1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,1
bd,-1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,1,-1,1
abd,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1
cd,-1,-1,1,1,-1,-1,1,1,-1,-1,1,1,-1,-1,1
acd,1,-1,-1,1,1,-1,-1,1,1,-1,-1,1,1,-1,-1
bcd,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
abcd,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
